patientId,firstName,lastName,gender,age,mobNumber,address,height,weight,wasHospitalized?,stillAlive(ifHospitalized)?,password
3,Karan,Singh,M,39,+91xxxxxxxxxx,633-C^ Raheja Chamber`Nariman Point`Mumbai`Maharashtra`400021`India,178,150,N,Y,123456
4,Aditya,Singh,M,12,+918776493058,128-D^ East Mumbai``Mumbai`Maharashtra`400069`India,179,140,N,Y,123456
5,Rohan,Khurana,M,10,+919378409294,29-D^ Andheri West``Mumbai`Maharashtra`400066`India,180,140,N,Y,123456
7,Ailack,,F,16,+918398875564,62^ Andheri East``Mumbai`Maharashtra`400062`India,160,110,N,Y,123456
8,Jack,,M,33,+918876389406,23-D^ Amrita Nagar``Mumbai`Maharashtra`400013`India,168,130,N,Y,123456
9,Selmon,Bhoi,M,45,+918838492048,23^ Galaxy Apartments^ MG Rd.``Mumbai`Maharashtra`400009`India,180,150,N,Y,123456
10,Kim,John,M,24,+918753964875,23-D^ Jillah Rd``Pune`Maharashtra`500021`India,159,110,N,Y,123456
11,Rauf,,M,88,+917456493023,ABC Street`Xyz Colony`Mumbai`Maharastra`-`India,164,120,N,Y,123456
12,Juhad Ali,Pathan,M,32,+918893029382,ABC Street``Mumbai`Maharashtra`-`India,176,145,N,Y,123456
13,Abhishek Upmanyu,Singh,M,34,+91XXXXXXXXXX,23-D^ Galaxy Apartments`XYZ Street^ 223-A`Mumbai`Maharashtra`-`India,178,140,N,Y,123456
